,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,MagpieData mode NsValence,MagpieData mode NUnfilled,Yang delta,Miedema_deltaH_inter,mean wt CN_1,std_dev wt CN_1,mean sgl_bd CN_1,std_dev sgl_bd CN_1,mean L-shaped CN_2,std_dev L-shaped CN_2,std_dev water-like CN_2,std_dev bent 120 degrees CN_2,mean bent 150 degrees CN_2,std_dev bent 150 degrees CN_2,mean linear CN_2,std_dev linear CN_2,std_dev wt CN_5,std_dev pentagonal planar CN_5,std_dev square pyramidal CN_5,std_dev trigonal bipyramidal CN_5,mean wt CN_9,std_dev wt CN_9,mean q2 CN_9,std_dev q2 CN_9,mean q4 CN_9,std_dev q4 CN_9,mean q6 CN_9,std_dev q6 CN_9,mean wt CN_11,std_dev wt CN_11,mean q2 CN_11,std_dev q2 CN_11,mean q4 CN_11,std_dev q4 CN_11,mean q6 CN_11,std_dev q6 CN_11,mean wt CN_13,std_dev wt CN_13,mean wt CN_14,mean ordering parameter shell 2,mean ordering parameter shell 3,xrd_36,xrd_38,xrd_39,xrd_50,xrd_52,xrd_54,xrd_55,xrd_58,xrd_65,xrd_68,xrd_69,xrd_74,xrd_75,xrd_80,xrd_81,xrd_89,xrd_92,xrd_93,xrd_96,xrd_97,xrd_104,xrd_112,xrd_113,xrd_116,xrd_117,xrd_118,xrd_119,xrd_123,xrd_124,jml_rdf_13,jml_rdf_14,jml_rdf_16,jml_rdf_19,jml_rdf_20,jml_rdf_23,jml_rdf_24,jml_rdf_39,jml_rdf_42,jml_rdf_85,jml_rdf_91,jml_rdf_94,jml_rdf_98,jml_adf1_36,jml_adf1_48,jml_adf1_53,jml_adf1_82,jml_adf1_97,jml_adf1_126,jml_adf1_162,jml_adf1_165,jml_adf1_168,jml_adf2_49,jml_adf2_57,jml_adf2_61,jml_adf2_65,jml_adf2_74,jml_adf2_82,jml_adf2_97,jml_adf2_104,jml_adf2_114,jml_adf2_118,jml_adf2_134,jml_adf2_136,jml_adf2_165,jml_nn_13,jml_nn_14,jml_nn_16,jml_nn_19,jml_nn_20,jml_nn_23,jml_nn_24,jml_nn_26,jml_nn_32,jml_nn_35,jml_nn_39,jml_nn_40,jml_nn_42,jml_nn_43,jml_nn_53,jml_nn_69,crystal_system_int,is_centrosymmetric,structural complexity per atom
125,0,0.046298658,0.09343911,1,6,0.057232983,-0.064913047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23372677,0.160816336,0.088445684,0.021193703,0.097124088,0.115828179,8.79424E-06,0.000534225,0.006819033,0.013572171,0.010307133,9.47662E-05,0.010792085,0.023979239,0.003739021,0.000800202,0.000870159,0.002965426,4.34946E-05,0.00041917,0.001924683,0.017948114,0.017317095,1.58707E-05,0.001725574,0.000537153,1.8484E-06,5.05756E-06,5.77787E-05,0.000456036,0.035829807,0.04023473,0,0,0,0,0,0,0,0,0,6.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,TRUE,1.5
126,0.027196415,0.075545596,0.111323991,2,8,0.053685098,-0.055289806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23372677,0.160816336,0.088445684,0.139535819,0.058280199,0.016746684,0.007229394,0.024115008,0.009263604,0.002552798,2.14793E-06,0.0482853,0.004946193,0.000785375,0.001683714,0.005869234,0.000912113,0.000124298,0.016142504,0.000272611,2.39989E-05,0.000441472,0.001776345,8.48603E-06,0.019068619,0.006579643,1.05734E-05,7.35322E-07,5.95607E-06,6.52748E-05,0.004265692,0.003141359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,TRUE,1.5
127,0.01767767,0.036197133,0.059093924,1,6,0.053221289,-0.052531001,0,0,0,0,0.052824233,0.064696209,0.00782276,0.000326881,5.55996E-08,6.80954E-08,1.87435E-07,2.2956E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271144555,0.30307498,0.133209907,0.016436696,0.086403693,0.112540436,4.43764E-06,0.000312353,0.00486693,0.010913834,0.0128178,3.80691E-05,0.006505983,0.016992144,0.007229334,0.001966543,0.000361145,0.001499433,0.000169103,0.000111097,0.000652587,0.013830424,0.018007739,4.89133E-06,0.003735217,0.001765321,1.94157E-05,0.000002188,2.94114E-06,3.40739E-05,0.017324167,0.032057404,0,0,0,0,0,0,0,0,0,6.1213,0,0,4.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,1.521928095
128,0.01767767,0.036197133,0.059093924,1,6,0.053221289,-0.052531001,0.202319519,0.247789793,0.202319519,0.247789793,0.052824233,0.064696209,0.229720653,0.183504839,0.003977961,0.004871987,0.000633544,0.000775929,0,0,0,0,0.099780761,0.122205975,0.011086751,0.013578442,0.037384503,0.045786478,0.060561987,0.074172983,0,0,0,0,0,0,0,0,0,0,0.221254175,0.066589449,0.043124093,0.016436696,0.086403693,0.112540436,4.43764E-06,0.000312353,0.00486693,0.010913834,0.0128178,3.80691E-05,0.006505983,0.016992144,0.007229334,0.001966543,0.000361145,0.001499433,0.000169103,0.000111097,0.000652587,0.013830424,0.018007739,4.89133E-06,0.003735217,0.001765321,1.94157E-05,0.000002188,2.94114E-06,3.40739E-05,0.017324167,0.032057404,0,0,0,0,0,0,0,0,0,6.1213,0,0,4.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRUE,1.521928095
129,0.01767767,0.036197133,0.059093924,1,6,0.053221289,-0.052531001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202790348,0.248366438,0.022532261,0.027596271,0.075978738,0.09305457,0.123083712,0.150746145,0,0,0,0,0,0,0,0,0,0,0.271144555,0.101001658,0.056188558,0.016436696,0.086403693,0.112540436,4.43764E-06,0.000312353,0.00486693,0.010913834,0.0128178,3.80691E-05,0.006505983,0.016992144,0.007229334,0.001966543,0.000361145,0.001499433,0.000169103,0.000111097,0.000652587,0.013830424,0.018007739,4.89133E-06,0.003735217,0.001765321,1.94157E-05,0.000002188,2.94114E-06,3.40739E-05,0.017324167,0.032057404,0,0,0,0,0,0,0,0,0,6.1213,0,0,4.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,TRUE,1.521928095
130,0.01767767,0.036197133,0.059093924,1,6,0.053221289,-0.052531001,0.202319519,0.247789793,0.202319519,0.247789793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099780761,0.122205975,5.46059E-18,6.74056E-18,0.016165506,0.019798621,0.05523296,0.067646285,0,0,0.221254175,0.062868586,0.010642817,0.016436696,0.086403693,0.112540436,4.43764E-06,0.000312353,0.00486693,0.010913834,0.0128178,3.80691E-05,0.006505983,0.016992144,0.007229334,0.001966543,0.000361145,0.001499433,0.000169103,0.000111097,0.000652587,0.013830424,0.018007739,4.89133E-06,0.003735217,0.001765321,1.94157E-05,0.000002188,2.94114E-06,3.40739E-05,0.017324167,0.032057404,0,0,0,0,0,0,2.3436,2.6197,0,0.8158,0.4741,0.4442,1.2255,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.4,0,0,0,0,0.8,3,TRUE,1.521928095
131,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,0.105648466,0.052824233,0.006387256,0.000266897,1.11199E-07,5.55996E-08,3.7487E-07,1.87435E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221254175,0.285274109,0.127125112,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,1.521928095
132,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,3.50722E-14,7.01445E-14,7.2726E-09,1.17533E-05,0.011750415,0.02350083,0.101159759,0.202319519,0,0,0,0,0,0,0,0,0,0,0,0,0.099780761,0.122205975,7.22104E-18,9.23961E-18,0.016165506,0.019798621,0.05523296,0.067646285,0,0,0.171363794,0.068422578,0.048516367,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRUE,1.521928095
133,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099780761,0.122205975,0.011086751,0.013578442,0.037384503,0.045786478,0.060561987,0.074172983,0,0,0,0,0,0,0,0,0,0,0.221254175,0.05389406,0.053059035,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,TRUE,1.521928095
134,0.212132034,0.252538136,0.284357941,1,6,0.063492913,-0.090538409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199561522,0.099780761,1.58625E-17,9.06471E-18,0.032331012,0.016165506,0.110465921,0.05523296,0,0,0.171363794,0.032651187,0.013071154,0.047470051,0.126110876,0.105798741,8.26249E-05,0.002815103,0.016319546,0.02022444,0.002701643,0.001548718,0.03545499,0.041526727,0.0001195,1.08766E-05,0.007618396,0.011927172,0.000135331,0.010220473,0.017822412,0.006632832,0.001968001,0.001770708,2.95764E-06,4.0563E-06,0.002798,0.01034343,0.02455778,0.037447371,0.002417838,0.0004029,0,0,0,0,0,0,2.4867,2.7797,0,0,0.5031,0,0.8669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.4,0.8,0,0,5.6,4.8,3,TRUE,1.521928095
135,0.031081617,0.058709721,0.101222465,2,8,0.056257749,-0.063032304,0,0,0,0,0.075463192,0.065353041,0.209053453,0.169093936,0.011234596,0.019878549,0.072709636,0.17680926,0.228496605,0.083516525,0.043105707,0.079910059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071271972,0.112690883,0.171363794,0.08738183,0.04195875,0.133358128,0.071788717,0.024072328,0.004734096,0.021200517,0.011766265,0.00400616,6.91762E-06,0.044187965,0.009435021,0.001985244,0.000767313,0.003365908,0.002173636,0.000416003,0.020106366,0.001055373,0.000139136,0.000116472,0.000669114,6.21165E-05,0.032471301,0.019102768,0.000169692,1.23786E-05,7.4834E-07,4.09088E-06,0.002951619,0.004151697,0,0,0,0,0,0,0,0,0,0,6.6082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,TRUE,1.950212065
