,MagpieData avg_dev Number,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData avg_dev MeltingT,MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData avg_dev NsUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev SpaceGroupNumber,avg ionic char,Miedema_deltaH_inter,spacegroup_num,crystal_system_int,is_centrosymmetric,sine coulomb matrix eig 0,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,structural complexity per atom,structural complexity per cell
29,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,175,0.230555556,0.277777778,2,0.833333333,0.555555556,0.277777778,0.833333333,8,0.555555556,8,2.084722222,23.195,9.722222222,0.021973646,-0.036689271,65,5,TRUE,4236.595209,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
30,0.75,2.25,1.776,288,0.75,7.875,154,0.31125,0.375,1,1.125,0.75,0.375,1.125,5,0.75,6,2.814375,15.69,13.125,0.029664422,-0.064913047,65,5,TRUE,4291.557254,0,0,0,0,0,0,0,0,0,0,1.5,6
31,0.75,2.25,1.776,288,0.75,7.875,154,0.31125,0.375,1,1.125,0.75,0.375,1.125,5,0.75,6,2.814375,15.69,13.125,0.029664422,-0.064913047,10,6,TRUE,4363.421491,0,0,0,0,0,0,0,0,0,0,1.5,6
32,0.75,2.25,1.776,288,0.75,7.875,154,0.31125,0.375,1,1.125,0.75,0.375,1.125,5,0.75,6,2.814375,15.69,13.125,0.029664422,-0.064913047,123,4,TRUE,4329.544309,0,0,0,0,0,0,0,0,0,0,1.5,6
33,0.75,2.25,1.776,288,0.75,7.875,154,0.31125,0.375,1,1.125,0.75,0.375,1.125,5,0.75,6,2.814375,15.69,13.125,0.029664422,-0.064913047,71,5,TRUE,4281.817925,0,0,0,0,0,0,0,0,0,0,1.5,6
34,0.75,2.25,1.776,288,0.75,7.875,154,0.31125,0.375,1,1.125,0.75,0.375,1.125,5,0.75,6,2.814375,15.69,13.125,0.029664422,-0.064913047,225,1,TRUE,4555.590888,0,0,0,0,0,0,0,0,0,0,1.5,6
35,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,69,5,TRUE,4217.783684,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
36,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,12,6,TRUE,4249.085147,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
37,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,139,4,TRUE,4243.145288,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
38,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,166,3,TRUE,4353.285915,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
