,Cluster 1,Cluster 2,Cluster 3,Cluster 7,Cluster 10,Cluster 24,Cluster 43,Cluster 44,Cluster 47,Cluster 49,Cluster 51,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 61,Cluster 64,Cluster 65,Cluster 66,Cluster 69,Cluster 72,Cluster 84,mean wt CN_1,mean bent 150 degrees CN_2,std_dev square pyramidal CN_5,mean wt CN_9,mean wt CN_11,std_dev wt CN_11,std_dev q2 CN_11,mean wt CN_13,std_dev wt CN_13,mean ordering parameter shell 2,xrd_36,xrd_97,xrd_112,xrd_117,xrd_123,jml_adf1_48,jml_adf1_82
50,-0.991707109,0.082623304,-1.442600804,0.459652395,-1.255397891,0.466731157,-1.778086628,-0.566423043,-0.507384543,-0.420150392,-1.190944135,-1.502046647,-1.604497443,-0.576197891,-1.26267736,-0.48735121,-1.182242196,-1.355394963,-0.469640566,-0.575123827,-0.762590687,-0.427655383,-0.332539431,-0.460704997,-0.525270416,-0.547949578,0.886733612,1.170592675,2.601719443,-0.427986448,-0.476452662,-0.513016627,0.702448939,-0.734647135,0.426111407,-0.398248657,-0.631813341,-0.09912279,-0.104541675
51,0.391139001,0.865290871,-0.032248719,1.570452216,0.370664202,1.655924587,-0.901641507,0.368528061,0.728220433,0.760783422,-0.088402022,-0.378829721,-0.680309771,0.588953442,-0.425574446,0.745722789,-0.083788871,-0.074797646,0.675918614,0.422583897,0.472342084,0.806961864,-0.332539431,-0.460689702,-0.525270416,2.689471395,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.513016627,1.440114143,-0.105585842,-0.134310091,-0.641853609,-0.347653537,-0.09912279,-0.104541675
52,2.004459467,1.126180056,0.829633109,1.477885558,1.364368813,1.061327863,1.143397104,1.303479164,2.307049015,2.269754408,2.055429861,1.805203188,2.246284529,2.077757925,1.202125661,1.978796788,2.05209259,2.415252686,2.139688679,1.420291621,2.118919108,2.38452835,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,3.59218314,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
53,1.428273583,0.473957081,0.829633109,1.015052297,1.138526854,2.052322391,1.143397104,1.303479164,1.963825408,1.941717235,1.74916816,1.493198483,1.861206329,1.754104774,0.969597072,1.978796788,1.746966664,2.059531206,1.821477794,1.420291621,2.290437549,2.041579112,2.625143009,-0.004758613,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.541714951,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
54,1.428273583,0.473957081,0.437868637,1.477885558,1.590210773,1.309076495,1.143397104,1.303479164,1.963825408,1.941717235,1.902299011,1.493198483,1.861206329,1.915931349,1.202125661,1.978796788,1.899529627,2.059531206,1.980583237,1.420291621,2.118919108,2.041579112,5.582825449,0.886105317,-0.525270416,2.149901233,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.4335761,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
55,0.8520877,1.778403019,1.22139758,1.015052297,0.912684895,1.061327863,1.143397104,1.822896448,1.963825408,1.941717235,1.74916816,1.493198483,1.476128129,1.754104774,0.969597072,1.978796788,1.746966664,2.059531206,1.821477794,1.974573694,2.118919108,2.041579112,-0.332539431,-0.460704997,-0.525270416,2.193551385,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.437857391,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
56,0.8520877,1.126180056,0.437868637,1.940718818,0.912684895,1.556825127,1.143397104,1.303479164,1.963825408,1.941717235,1.74916816,1.493198483,1.476128129,1.754104774,0.969597072,1.978796788,1.746966664,2.059531206,1.821477794,1.697432657,2.118919108,2.041579112,-0.332539431,-0.460692251,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.611256673,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
57,0.8520877,1.126180056,0.829633109,1.015052297,0.912684895,1.061327863,1.143397104,1.303479164,1.963825408,1.941717235,1.74916816,1.805203188,1.476128129,1.754104774,1.202125661,1.978796788,1.746966664,2.059531206,1.821477794,1.420291621,2.118919108,2.041579112,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.437857381,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,6.013449264,-0.104541675
58,0.8520877,0.473957081,0.829633109,1.015052297,1.364368813,1.556825127,1.143397104,1.303479164,2.307049015,1.941717235,1.74916816,1.493198483,1.476128129,1.754104774,0.969597072,1.978796788,1.746966664,2.059531206,1.821477794,1.420291621,2.118919108,2.041579112,2.625143009,1.342051654,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.671481584,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
59,0.8520877,0.473957081,1.613162051,1.015052297,0.912684895,1.061327863,1.508582573,1.303479164,1.963825408,1.941717235,1.74916816,1.493198483,1.476128129,1.754104774,0.969597072,1.978796788,1.746966664,2.059531206,1.821477794,1.420291621,2.118919108,2.041579112,-0.332539431,0.886105317,-0.525270416,-0.547949578,2.01381423,3.062590509,-0.433558744,-0.427986448,-0.476452662,0.504237754,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
